id,user,uid,version,changeset,timestamp
37129290,jamesks,2500,3,44333750,2016-12-11T23:56:43Z
37129291,jamesks,2500,8,44333750,2016-12-11T23:56:44Z
37129303,maptofu,5646993,5,47628184,2017-04-10T15:44:56Z
37129304,Ernst Poulsen,35273,3,13124598,2012-09-15T22:55:13Z
37129305,jamesks,2500,3,44306713,2016-12-10T17:57:38Z
37129306,jamesks,2500,4,44306713,2016-12-10T17:57:38Z
37129307,jamesks,2500,6,44306713,2016-12-10T17:57:38Z
37129309,jamesks,2500,7,44673008,2016-12-26T01:50:37Z
37129310,ff5722,3450290,2,44342998,2016-12-12T11:19:58Z
37129312,geodreieck4711,479256,3,24873407,2014-08-20T00:16:04Z
37129313,jamesks,2500,5,44673008,2016-12-26T01:50:37Z
37129314,jamesks,2500,5,44673008,2016-12-26T01:50:37Z
37129316,The_Mappet_Show,78234,11,33289870,2015-08-12T12:01:46Z
37129320,jamesks,2500,6,44673008,2016-12-26T01:50:38Z
37129321,Ernst Poulsen,35273,3,13124598,2012-09-15T22:55:14Z
37129322,istap,120612,1,1707633,2009-07-02T08:37:46Z
37129323,ff5722,3450290,2,44342998,2016-12-12T11:19:58Z
37129324,istap,120612,1,1707633,2009-07-02T08:37:47Z
37129325,istap,120612,1,1707633,2009-07-02T08:37:48Z
37129327,istap,120612,1,1707633,2009-07-02T08:37:49Z
37129329,hjkwd,5048339,4,44848872,2017-01-02T16:15:50Z
37129330,istap,120612,1,1707633,2009-07-02T08:37:49Z
37129332,hjkwd,5048339,6,44848872,2017-01-02T16:15:50Z
37129333,istap,120612,1,1707633,2009-07-02T08:37:51Z
37129334,geodreieck4711,479256,3,24873407,2014-08-20T00:16:19Z
37129336,geodreieck4711,479256,3,24873407,2014-08-20T00:16:16Z
37129338,geodreieck4711,479256,3,24873407,2014-08-20T00:16:15Z
37129403,巴山夜雨,4379011,7,50682779,2017-07-30T00:37:10Z
37130745,巴山夜雨,4379011,6,47555795,2017-04-08T00:37:09Z
37130746,巴山夜雨,4379011,6,47555795,2017-04-08T00:37:09Z
37130751,巴山夜雨,4379011,7,50682779,2017-07-30T00:37:08Z
