id,key,value,type
28623856,oneway,yes,regular
28623856,highway,trunk_link,regular
28623863,name,紫荆西路,regular
28623863,oneway,yes,regular
28623863,highway,primary,regular
28623863,zh,紫荆西路,name
28623882,name,武侯祠东街,regular
28623882,highway,unclassified,regular
28623882,en,Wuhouci Street East,name
28623885,name,高升桥北街,regular
28623885,oneway,no,regular
28623885,highway,unclassified,regular
28623889,highway,unclassified,regular
28623894,name,成都市动物园,regular
28623894,highway,pedestrian,regular
28623894,surface,paved,regular
28623899,name,成都市动物园,regular
28623899,highway,pedestrian,regular
28623899,surface,paved,regular
28932549,ref,G5,regular
28932549,lanes,3,regular
28932549,layer,1,regular
28932549,bridge,yes,regular
28932549,oneway,yes,regular
28932549,source,GPS,regular
28932549,highway,motorway,regular
28933232,oneway,yes,regular
28933232,highway,secondary,regular
28933694,highway,secondary,regular
28933695,highway,unclassified,regular
28933696,highway,unclassified,regular
28933697,highway,unclassified,regular
30549871,name,旅游村街,regular
30549871,highway,residential,regular
30549871,en,Lvyoucun Jie,name
30549871,zh,旅游村街,name
30597095,highway,tertiary,regular
30597096,highway,secondary,regular
30597096,lanes,3,regular
30597096,layer,1,regular
30597096,maxspeed,60,regular
30597096,name,火车南站西路,regular
30597096,oneway,yes,regular
30597098,highway,steps,regular
30597098,surface,paved,regular
30597099,layer,1,regular
30597099,bridge,yes,regular
30597099,highway,footway,regular
30597099,surface,paved,regular
30597100,highway,steps,regular
30597100,surface,paved,regular
30597101,highway,steps,regular
30597101,surface,paved,regular
30597102,highway,steps,regular
30597102,surface,paved,regular
30597103,layer,1,regular
30597103,bridge,yes,regular
30597103,highway,footway,regular
30597103,surface,paved,regular
30597104,highway,steps,regular
30597104,surface,paved,regular
30597105,highway,steps,regular
30597105,surface,paved,regular
30597106,highway,steps,regular
30597106,surface,paved,regular
30597107,highway,steps,regular
30597107,surface,paved,regular
30597109,lanes,1,regular
30597109,layer,1,regular
30597109,oneway,yes,regular
30597109,highway,tertiary,regular
30597109,motorroad,yes,regular
30597112,lanes,2,regular
30597112,oneway,yes,regular
30597112,highway,motorway,regular
30597112,maxspeed,100,regular
30597113,lanes,2,regular
30597113,layer,1,regular
30597113,bridge,yes,regular
30597113,oneway,yes,regular
30597113,highway,motorway,regular
30597113,maxspeed,100,regular
30597114,layer,1,regular
30597114,bridge,yes,regular
30597114,oneway,yes,regular
30597114,highway,motorway_link,regular
37127680,highway,secondary,regular
37127680,name,玉林中路,regular
37127680,zh,玉林中路,name
37127681,highway,secondary,regular
37127681,name,洗面桥东二街,regular
37127682,highway,tertiary,regular
37127682,name,小天西街,regular
37127684,name,高升桥南街,regular
37127684,highway,unclassified,regular
37127685,name,肖家河街,regular
37127685,highway,unclassified,regular
37127686,highway,unclassified,regular
37127690,highway,residential,regular
37127691,highway,residential,regular
37127692,name,九兴大道,regular
37127692,highway,primary,regular
37129290,name,通祠路,regular
37129290,lanes,4,regular
37129290,bridge,yes,regular
37129290,oneway,yes,regular
37129290,highway,secondary,regular
37129290,en,Tongci Road,name
37129290,zh,通祠路,name
37129291,name,通祠路,regular
37129291,lanes,2,regular
37129291,oneway,yes,regular
37129291,highway,secondary,regular
37129291,en,Tongci Road,name
37129291,zh,通祠路,name
37129303,lanes,3,regular
37129303,oneway,yes,regular
37129303,highway,primary,regular
37129304,highway,residential,regular
37129305,bridge,yes,regular
37129305,oneway,yes,regular
37129305,highway,primary,regular
37129306,oneway,yes,regular
37129306,highway,primary,regular
37129307,lanes,3,regular
37129307,oneway,yes,regular
37129307,highway,primary,regular
37129309,highway,secondary,regular
37129310,highway,footway,regular
37129312,highway,unclassified,regular
37129313,lanes,3,regular
37129313,bridge,yes,regular
37129313,oneway,yes,regular
37129313,highway,primary,regular
37129314,lanes,3,regular
37129314,oneway,yes,regular
37129314,highway,primary,regular
37129316,name,清水河 - Qingshui Jiang,regular
37129316,waterway,river,regular
37129320,highway,secondary,regular
37129321,highway,residential,regular
37129322,bridge,yes,regular
37129322,highway,unclassified,regular
37129323,highway,unclassified,regular
37129324,highway,unclassified,regular
37129325,highway,unclassified,regular
37129327,bridge,yes,regular
37129327,highway,unclassified,regular
37129329,name,百卉路,regular
37129329,highway,residential,regular
37129330,bridge,yes,regular
37129330,highway,unclassified,regular
37129332,name,望仙场街,regular
37129332,highway,residential,regular
37129333,highway,unclassified,regular
37129334,highway,unclassified,regular
37129336,highway,unclassified,regular
37129338,highway,unclassified,regular
37129403,highway,primary,regular
37129403,lanes,3,regular
37129403,name,大石西路,regular
37129403,en,Da Shi Xi Lu,name
37129403,oneway,yes,regular
37130745,foot,yes,regular
37130745,name,长益路,regular
37130745,bicycle,yes,regular
37130745,highway,primary,regular
37130745,en,Changyi Road,name
37130746,highway,tertiary,regular
37130751,highway,residential,regular
37130751,name,长城路,regular
37130752,name,长城东二路,regular
37130752,highway,unclassified,regular
37130753,highway,service,regular
37130755,amenity,parking,regular
37130756,building,yes,regular
37130757,building,yes,regular
37130793,ref,中环路,regular
37130793,name,中环路武阳大道段,regular
37130793,lanes,3,regular
37130793,oneway,yes,regular
37130793,highway,primary,regular
37130793,alt_name,2.5环路,regular
37130796,highway,unclassified,regular
37130797,highway,unclassified,regular
37130798,highway,unclassified,regular
37130799,name,营康西路,regular
37130799,highway,secondary,regular
37130801,highway,primary,regular
37130803,name,蜀蓉路,regular
37130803,highway,residential,regular
37130805,name,蜀营街,regular
37130805,highway,residential,regular
37130807,name,同兴南街,regular
37130807,highway,residential,regular
37130808,highway,residential,regular
37130809,name,同友路,regular
37130809,highway,residential,regular
37130810,bridge,yes,regular
37130810,highway,unclassified,regular
37130811,name,同济路,regular
37130811,highway,residential,regular
37130812,bridge,yes,regular
37130812,highway,residential,regular
37130822,highway,primary,regular
37130823,highway,tertiary,regular
37130824,highway,unclassified,regular
37130825,highway,unclassified,regular
37130826,highway,unclassified,regular
37130827,name,贝森路,regular
37130827,oneway,yes,regular
37130827,highway,unclassified,regular
37130828,highway,unclassified,regular
37130829,oneway,yes,regular
37130829,highway,primary,regular
37130830,highway,secondary,regular
37130830,lanes,3,regular
37130830,oneway,yes,regular
37130830,source,Bing; bing,regular
37130831,lanes,3,regular
37130831,layer,2,regular
37130831,bridge,yes,regular
37130831,oneway,yes,regular
37130831,source,Bing; bing,regular
37130831,highway,secondary,regular
37130832,name,西源大道,regular
37130832,oneway,yes,regular
37130832,source,bing,regular
37130832,highway,primary,regular
37130832,zh,西源大道,name
37130833,bridge,yes,regular
37130833,oneway,yes,regular
37130833,highway,primary,regular
37130834,highway,secondary,regular
37130835,highway,tertiary,regular
37130836,name,少城路,regular
37130836,lanes,3,regular
37130836,oneway,yes,regular
37130836,source,Bing,regular
37130836,highway,primary,regular
37130836,en,Shaocheng Road,name
37130839,name,江村路,regular
37130839,highway,residential,regular
37130840,name,牧电路,regular
37130840,highway,unclassified,regular
37130843,highway,residential,regular
37130844,bridge,yes,regular
